S.No,URL,Path Segment,Breadcrumb Path (Array),Breadcrumb (Formatted Trail),Primary Page Type,Hierarchy Level,Inbound Links,Search Intent
1,https://linear.app/,/,"['OTHERS', 'HOMEPAGE']",OTHERS > HOMEPAGE,HOMEPAGE,L0_HOMEPAGE,769,NAVIGATIONAL
2,https://linear.app/about,/about,"['OTHERS', 'SERVICE_CATEGORY_HUB']",OTHERS > SERVICE_CATEGORY_HUB,SERVICE_CATEGORY_HUB,L1_PRIMARY_NAV_HUB,741,COMMERCIAL_INVESTIGATION
3,https://linear.app/agents,/agents,"['OTHERS', 'SERVICE_CATEGORY_HUB']",OTHERS > SERVICE_CATEGORY_HUB,SERVICE_CATEGORY_HUB,L1_PRIMARY_NAV_HUB,741,COMMERCIAL_INVESTIGATION
4,https://linear.app/blog,/blog,"['OTHERS', 'SERVICE_CATEGORY_HUB']",OTHERS > SERVICE_CATEGORY_HUB,SERVICE_CATEGORY_HUB,L1_PRIMARY_NAV_HUB,741,COMMERCIAL_INVESTIGATION
5,https://linear.app/careers,/careers,"['OTHERS', 'SERVICE_CATEGORY_HUB']",OTHERS > SERVICE_CATEGORY_HUB,SERVICE_CATEGORY_HUB,L1_PRIMARY_NAV_HUB,741,COMMERCIAL_INVESTIGATION
6,https://linear.app/changelog,/changelog,"['OTHERS', 'SERVICE_CATEGORY_HUB']",OTHERS > SERVICE_CATEGORY_HUB,SERVICE_CATEGORY_HUB,L1_PRIMARY_NAV_HUB,743,COMMERCIAL_INVESTIGATION
7,https://linear.app/coding-sessions,/coding-sessions,"['OTHERS', 'SERVICE_CATEGORY_HUB']",OTHERS > SERVICE_CATEGORY_HUB,SERVICE_CATEGORY_HUB,L1_PRIMARY_NAV_HUB,741,COMMERCIAL_INVESTIGATION
8,https://linear.app/resource-kit,/resource-kit,"['OTHERS', 'UNKNOWN']",OTHERS > UNKNOWN,UNKNOWN,L3_LEAF_PAGE,0,INFORMATIONAL
9,https://linear.app/contact,/contact,"['Homepage', 'Contact']",Homepage > Contact,SERVICE_CATEGORY_HUB,L1_PRIMARY_NAV_HUB,747,COMMERCIAL_INVESTIGATION
10,https://linear.app/contact/sales,/contact/sales,"['Homepage', 'Contact']",Homepage > Contact,UNKNOWN,L3_LEAF_PAGE,37,INFORMATIONAL
